Date,Open,High,Low,Close,Adj Close,Volume
2022-11-30,1216.928711,1302.038696,1215.497925,1295.688599,1295.688599,9836925304
2022-12-01,1295.769531,1295.999878,1267.708496,1276.273926,1276.273926,6857935276
2022-12-02,1276.328613,1294.303345,1269.243164,1294.303345,1294.303345,6213645709
2022-12-03,1294.456543,1299.840332,1241.431885,1243.334839,1243.334839,5672609405
2022-12-04,1243.219238,1281.492310,1242.911743,1280.256592,1280.256592,5174128454
2022-12-05,1279.998901,1302.237549,1252.472412,1259.676758,1259.676758,6120359523
2022-12-06,1259.854248,1271.923218,1247.629883,1271.653809,1271.653809,5089212680
2022-12-07,1271.553101,1272.694092,1224.447998,1232.437500,1232.437500,5752205180
2022-12-08,1232.451782,1286.229736,1226.358521,1281.116333,1281.116333,6227269815
2022-12-09,1281.077271,1290.055420,1260.818726,1264.284790,1264.284790,5706183865
2022-12-10,1264.375488,1279.527954,1262.119873,1266.384155,1266.384155,3282499999
2022-12-11,1266.417847,1281.783203,1260.663696,1263.868530,1263.868530,3362005848
2022-12-12,1263.573486,1275.610352,1243.477783,1274.619019,1274.619019,5151109364
2022-12-13,1274.662476,1341.439331,1258.472412,1320.549194,1320.549194,8812883119
2022-12-14,1320.688599,1346.174438,1305.833374,1309.328735,1309.328735,7830915428
2022-12-15,1309.190796,1311.067139,1262.689331,1266.353882,1266.353882,6032859783
2022-12-16,1266.460571,1278.156982,1162.175659,1168.259399,1168.259399,9297811507
2022-12-17,1168.066772,1189.045044,1165.407837,1188.149536,1188.149536,5077258586
2022-12-18,1188.128540,1194.214478,1176.185791,1184.715210,1184.715210,3350092519
2022-12-19,1184.758301,1192.923828,1160.377197,1167.609863,1167.609863,4943628091
2022-12-20,1167.882690,1224.092651,1165.599487,1217.703613,1217.703613,6684951715
2022-12-21,1217.586426,1218.192261,1206.440063,1213.599976,1213.599976,4217182733
2022-12-22,1213.672607,1221.986816,1187.127808,1218.182129,1218.182129,5297471739
2022-12-23,1218.079346,1226.998779,1215.994873,1220.159424,1220.159424,4835831923
2022-12-24,1220.117920,1224.911621,1216.338745,1221.148560,1221.148560,2626153345
2022-12-25,1221.171509,1223.517822,1203.719604,1218.962036,1218.962036,3942720070
2022-12-26,1218.920166,1226.974365,1214.335938,1226.974365,1226.974365,3282098400
2022-12-27,1226.987061,1230.418091,1205.895630,1212.791626,1212.791626,4091530737
2022-12-28,1212.736572,1213.128906,1185.702148,1189.986084,1189.986084,4991669631
2022-12-29,1190.010132,1204.141602,1188.360229,1201.595337,1201.595337,4132233940
2022-12-30,1201.569580,1202.034668,1187.462524,1199.232788,1199.232788,4055668253
2022-12-31,1199.360107,1205.088623,1194.203735,1196.771240,1196.771240,3018513333
2023-01-01,1196.713623,1203.475342,1192.885376,1200.964844,1200.964844,2399674550
2023-01-02,1201.103271,1219.860596,1195.214966,1214.656616,1214.656616,3765758498
